"","trial_number","trap_number","prawn_id","stage","treatment","abdomen_turgor","abdomen_retraction","leg_movement","leg_retraction","maxilliped_movement","maxilliped_retraction","antenna","eye_turgor","pleopods","mouth","comments","Person","All_id","score"
"225",5,1,8,1,90,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 1 - 8",10
"226",5,1,9,1,30,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 1 - 9",10
"227",5,1,10,1,0,1,0,1,1,1,1,1,1,0,1,"","EA","5 - 1 - 10",8
"228",5,1,11,1,30,0,0,1,1,1,1,1,1,1,1,"","EA","5 - 1 - 11",8
"229",5,1,12,3,30,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 1 - 12",10
"230",5,1,13,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 1 - 13",10
"231",5,2,14,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 2 - 14",10
"232",5,2,15,3,30,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 2 - 15",10
"233",5,2,16,2,0,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 2 - 16",10
"234",5,2,17,2,60,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 2 - 17",10
"235",5,2,18,3,60,0,0,1,1,1,1,1,1,0,1,"","EA","5 - 2 - 18",7
"236",5,2,19,1,60,1,1,1,1,1,1,0,1,0,1,"","EA","5 - 2 - 19",8
"237",5,2,20,2,0,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 2 - 20",10
"238",5,2,21,1,30,0,0,1,1,1,1,1,1,0,1,"","EA","5 - 2 - 21",7
"239",5,2,22,3,30,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 2 - 22",10
"240",5,2,23,3,30,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 2 - 23",10
"241",5,2,24,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 2 - 24",10
"242",5,2,25,3,60,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 2 - 25",10
"243",5,2,26,2,30,1,1,1,1,1,1,0,1,1,1,"","EA","5 - 2 - 26",9
"244",5,2,27,2,30,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 2 - 27",10
"245",5,2,28,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 2 - 28",10
"246",5,2,29,1,0,1,1,1,1,1,1,0,1,1,1,"","EA","5 - 2 - 29",9
"247",5,2,30,1,90,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 2 - 30",10
"248",5,3,31,2,0,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 3 - 31",10
"249",5,3,32,2,0,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 3 - 32",10
"250",5,3,33,3,30,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 3 - 33",10
"251",5,3,34,3,30,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 3 - 34",10
"252",5,3,35,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 3 - 35",10
"253",5,3,36,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 3 - 36",10
"254",5,3,37,3,30,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 3 - 37",10
"255",5,3,38,3,60,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 3 - 38",10
"256",5,3,39,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 3 - 39",10
"257",5,4,40,3,0,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 4 - 40",10
"258",5,4,41,2,0,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 4 - 41",10
"259",5,4,42,1,30,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 4 - 42",10
"260",5,4,43,3,30,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 4 - 43",10
"261",5,4,44,1,60,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 4 - 44",10
"262",5,4,45,1,60,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 4 - 45",10
"263",5,4,46,3,30,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 4 - 46",10
"264",5,4,47,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 4 - 47",10
"265",5,4,48,1,0,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 4 - 48",10
"266",5,4,49,2,0,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 4 - 49",10
"267",5,4,50,2,60,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 4 - 50",10
"268",5,4,51,1,90,0,0,0,0,0,0,0,1,0,0,"","EA","5 - 4 - 51",1
"269",5,5,52,2,30,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 5 - 52",10
"270",5,5,53,1,30,0,0,1,1,1,1,0,1,0,1,"","EA","5 - 5 - 53",6
"271",5,5,54,1,30,1,1,1,1,1,1,1,1,1,1,"","EA","5 - 5 - 54",10
