trial_number,trap_number,prawn_id,stage,treatment,abdomen_turgor,abdomen_retraction,leg_movement,leg_retraction,maxilliped_movement,maxilliped_retraction,antenna,eye_turgor,pleopods,mouth,comments
15,1,5,2,90,1,1,1,1,1,1,1,1,1,1,
15,1,6,1,0,1,1,1,1,1,1,1,1,1,1,
15,1,7,2,90,1,1,1,1,1,1,1,1,1,1,
15,1,8,2,0,1,1,1,1,1,1,1,1,1,1,
15,1,9,1,30,1,1,1,1,1,1,1,1,0,1,
15,1,10,1,0,1,1,1,1,1,1,1,1,1,1,
15,1,11,1,30,1,1,1,1,1,1,1,1,1,1,
15,1,12,1,90,1,1,1,1,1,1,1,1,1,1,
15,1,13,1,0,1,1,1,1,1,1,1,1,1,1,
15,1,14,1,90,0,0,1,0,1,0,1,1,0,1,
15,1,15,1,120,1,1,1,1,1,1,1,1,1,1,
15,1,16,3,0,1,1,1,1,1,1,1,1,1,1,
15,1,17,3,30,1,1,1,1,1,1,1,1,1,1,
15,1,18,1,60,1,1,1,1,1,1,1,1,1,1,
15,1,19,1,0,0,0,1,0,1,0,1,1,0,1,
15,1,20,1,60,1,1,1,1,1,1,1,1,1,1,
15,1,21,1,120,0,0,0,0,0,0,0,0,0,0,
15,1,22,1,0,1,1,1,1,1,1,1,1,1,1,
15,2,23,1,0,1,1,1,1,1,1,1,1,1,1,
15,2,24,1,30,1,1,1,1,1,1,1,1,1,1,
15,2,25,2,30,1,1,1,1,1,1,1,1,1,1,
15,2,26,3,30,1,1,1,1,1,1,1,1,1,1,
15,2,27,2,30,1,1,1,1,1,1,1,1,1,1,
15,2,28,2,120,1,1,1,1,1,1,1,1,1,1,
15,2,29,2,0,1,1,1,1,1,1,1,1,1,1,
15,2,30,2,0,1,1,1,1,1,1,1,1,1,1,
15,2,31,3,60,1,1,1,1,1,1,1,1,1,1,
15,2,32,1,60,1,1,1,1,1,1,1,1,1,1,
15,2,33,1,60,1,1,1,1,1,1,1,1,1,1,
15,2,34,1,0,1,1,1,1,1,1,1,1,1,1,
15,2,35,1,60,1,0,1,1,1,1,0,1,1,1,
15,3,36,2,30,1,1,1,1,1,1,1,1,1,1,
15,3,37,1,0,1,1,1,1,1,1,1,1,1,1,
15,3,38,1,0,1,1,1,1,1,1,1,1,1,1,
15,3,39,1,60,1,1,1,1,1,1,1,1,1,1,
15,3,40,1,30,1,1,1,1,1,1,1,1,1,1,
15,3,41,1,60,1,1,1,1,1,1,1,1,1,1,
