trial_number,trap_number,prawn_id,stage,treatment,abdomen_turgor,abdomen_retraction,leg_movement,leg_retraction,maxilliped_movement,maxilliped_retraction,antenna,eye_turgor,pleopods,mouth,comments
3,2,43,1,90,1,1,1,1,1,1,1,1,1,1,
3,2,44,1,30,1,1,1,1,1,1,1,1,1,1,
3,2,45,2,30,1,1,1,1,1,1,1,1,1,1,
3,2,46,2,90,1,1,1,1,1,1,1,1,1,1,
3,2,47,1,90,1,1,1,1,1,1,1,1,1,1,
3,2,48,1,30,1,1,1,1,1,1,1,1,1,1,
3,2,49,1,60,1,1,1,1,1,1,1,1,1,1,
3,3,50,3,60,1,1,1,1,1,1,0,1,1,1,
3,3,51,3,60,1,1,1,1,1,1,1,1,1,1,
3,3,52,3,0,1,1,1,1,1,1,1,1,1,1,
3,3,53,2,0,1,1,1,1,1,1,1,1,1,1,
3,3,54,1,0,1,1,1,1,1,1,1,1,0,1,
3,3,55,1,60,1,1,1,1,1,1,1,1,1,1,
3,3,56,2,60,1,1,1,1,1,1,1,1,1,1,
3,3,57,3,60,1,1,1,1,1,1,1,1,1,1,
3,3,58,1,30,1,0,1,1,1,1,1,1,0,1,
3,3,59,1,60,1,1,1,1,1,1,0,1,1,1,
3,3,60,2,90,1,1,1,1,1,1,1,1,1,1,
3,3,61,2,90,1,1,1,1,1,1,1,1,1,1,
3,3,62,2,60,1,1,1,1,1,1,1,1,1,1,
3,3,63,3,60,1,1,1,1,1,1,1,1,1,1,
3,3,64,2,60,1,1,1,1,1,1,1,1,1,1,
3,3,65,1,30,1,0,1,1,1,1,1,1,0,1,
3,3,66,1,60,0,0,0,0,0,0,0,0,0,0,
3,3,67,1,30,1,1,1,1,1,1,1,1,1,1,
3,3,68,3,0,1,1,1,1,1,1,1,1,1,1,
3,3,69,1,30,1,1,1,1,1,1,1,1,1,1,
3,3,70,1,90,1,1,1,1,1,1,1,1,1,1,
3,3,71,1,30,1,1,1,1,1,1,1,1,0,1,
3,3,72,1,30,1,1,1,1,1,1,1,1,1,1,
3,3,73,1,30,1,1,1,1,1,1,1,1,1,1,
3,3,74,1,30,1,1,1,1,1,1,1,1,1,1,
3,3,75,1,30,1,1,1,1,1,1,1,1,1,1,
3,3,76,1,30,1,1,1,1,1,1,1,1,1,1,
3,4,77,2,90,1,1,1,1,1,1,1,1,1,1,
3,4,78,1,60,1,1,1,1,1,1,1,1,1,1,
3,4,79,3,30,1,1,1,1,1,1,1,1,1,1,
3,4,80,1,90,1,1,1,1,1,1,1,1,1,1,
3,4,81,1,30,0,0,0,0,0,0,0,0,0,0,dead
